race,costidx,ndma,popK
AK-1,1.30,4,527
AL-2,4.95,5,502
AL-5,2.19,2,495
AL-7,6.01,5,438
AR-2,2.88,1,509
AR-3,1.78,2,528
AZ-1,9.16,1,630
AZ-2,9.90,4,677
AZ-4,12.55,1,460
AZ-5,26.19,1,220
AZ-6,2.94,2,475
AZ-7,2.97,3,671
AZ-8,10.73,1,538
AZ-9,8.52,2,708
CA-1,4.57,5,626
CA-13,8.06,2,715
CA-2,10.39,3,708
CA-21,5.91,1,350
CA-22,7.00,3,387
CA-23,19.77,3,985
CA-25,23.40,4,787
CA-26,41.41,3,467
CA-27,61.64,2,315
CA-3,6.71,6,747
CA-31,58.68,1,319
CA-32,32.78,1,571
CA-33,53.78,1,348
CA-35,75.54,1,248
CA-38,51.59,1,363
CA-39,48.78,1,384
CA-41,27.79,1,674
CA-42,41.56,1,451
CA-45,42.55,1,440
CA-46,55.33,1,339
CA-47,32.25,1,581
CA-48,9.12,2,682
CA-49,34.00,2,460
CA-5,9.14,3,711
CA-50,6.30,1,530
CA-51,9.30,1,359
CA-6,17.60,1,260
CA-9,9.74,2,493
CO-3,9.43,4,592
CO-4,6.21,4,805
CO-5,2.68,2,384
CO-6,10.67,1,434
CO-7,9.45,2,588
CO-8,11.10,2,419
CT-2,4.33,1,606
CT-3,7.67,2,379
CT-4,57.78,2,383
CT-5,7.33,2,436
DE-1,11.55,3,671
FL-11,8.90,2,528
FL-12,8.48,3,608
FL-13,9.93,1,508
FL-14,10.29,1,490
FL-15,12.67,1,398
FL-16,12.21,1,413
FL-17,9.89,2,591
FL-18,10.00,3,595
FL-2,1.91,3,574
FL-21,3.84,1,570
FL-22,5.15,1,425
FL-23,14.80,2,457
FL-25,9.87,1,481
FL-26,12.48,2,482
FL-27,8.46,1,561
FL-28,11.14,2,433
FL-3,8.01,4,588
FL-4,3.73,1,530
FL-5,5.18,1,382
FL-7,10.55,1,415
FL-8,10.76,2,497
FL-9,9.74,3,496
GA-1,3.80,4,606
GA-10,12.73,4,661
GA-11,14.88,1,481
GA-12,3.16,3,609
GA-14,11.24,2,631
GA-2,3.93,6,512
GA-3,11.82,3,653
GA-7,13.05,1,549
GA-8,2.49,6,662
IA-1,3.42,5,756
IA-2,1.67,4,653
IA-3,2.99,4,467
IA-4,3.25,7,768
ID-1,3.00,4,674
IL-11,15.25,2,655
IL-13,9.00,2,438
IL-14,15.33,4,647
IL-16,4.05,5,804
IL-17,3.72,5,493
IL-4,22.03,1,436
IL-6,17.04,1,564
IL-8,19.29,1,499
IN-1,16.00,2,612
IN-2,2.31,4,608
IN-3,1.77,3,556
IN-5,4.70,2,643
IN-9,9.41,3,614
KS-2,5.32,7,625
KS-3,4.56,2,567
KS-4,1.81,4,668
KY-3,4.69,1,379
KY-6,3.24,3,418
LA-6,4.63,4,487
MA-9,14.82,2,559
MD-1,4.16,2,797
MD-2,5.24,2,573
MD-3,5.76,2,526
MD-6,12.42,3,622
ME-1,1.95,2,521
ME-2,1.80,3,591
MI-1,1.42,7,704
MI-10,8.71,1,560
MI-11,8.84,1,552
MI-3,4.15,1,502
MI-4,4.92,3,466
MI-5,7.63,5,839
MI-6,9.35,3,536
MI-7,9.60,4,562
MI-8,2.32,3,510
MI-9,6.69,2,838
MN-1,5.93,6,684
MN-2,7.66,2,634
MN-6,9.72,1,495
MN-8,7.14,3,686
MO-2,5.55,2,577
MO-3,5.87,4,605
MO-4,5.90,5,713
MO-5,5.07,1,507
MO-6,4.97,7,769
MS-1,3.14,5,629
MS-2,2.84,6,530
MS-3,2.46,5,608
MT-1,1.23,5,437
NC-1,7.59,3,667
NC-10,11.21,2,455
NC-11,4.55,4,583
NC-13,5.42,2,654
NC-14,7.18,2,559
NC-3,1.50,4,640
NC-5,6.93,2,518
NC-6,10.99,2,433
NC-7,4.65,4,689
NC-8,6.91,4,603
NC-9,6.77,4,733
NE-1,3.42,3,533
NE-2,2.49,2,467
NH-1,15.33,2,472
NH-2,11.60,3,681
NJ-11,38.53,1,550
NJ-2,18.91,2,806
NJ-3,17.61,2,642
NJ-4,38.28,1,554
NJ-5,30.34,1,699
NJ-6,37.97,1,558
NJ-7,29.09,2,738
NJ-9,34.95,1,607
NM-1,4.64,2,422
NM-2,5.32,2,555
NM-3,3.58,3,608
NV-1,6.27,1,370
NV-2,1.65,3,508
NV-3,4.81,1,482
NV-4,4.27,3,576
NY-1,23.53,1,901
NY-11,34.50,1,614
NY-17,23.93,1,886
NY-18,35.41,2,599
NY-19,11.25,5,782
NY-2,46.51,1,456
NY-20,3.15,1,437
NY-21,3.04,6,829
NY-22,1.91,3,566
NY-23,2.36,5,804
NY-24,4.73,6,790
NY-25,2.12,2,493
NY-3,27.24,1,778
NY-4,50.43,1,420
NY-6,55.72,1,380
OH-1,3.93,2,624
OH-10,2.41,3,565
OH-13,7.38,1,516
OH-14,6.63,2,643
OH-15,6.17,4,601
OH-5,7.50,6,785
OH-7,6.16,1,618
OH-8,6.45,2,538
OH-9,2.17,4,550
OK-1,3.56,1,402
OK-4,4.05,3,657
OK-5,3.78,3,523
OR-2,4.89,7,796
OR-4,2.00,4,656
OR-5,6.91,3,535
OR-6,8.38,2,422
PA-1,15.02,1,543
PA-10,4.25,2,485
PA-11,3.26,2,653
PA-12,5.14,1,543
PA-14,4.17,2,738
PA-16,5.17,3,589
PA-17,4.83,1,577
PA-4,12.42,1,656
PA-6,21.39,2,395
PA-7,16.08,2,584
PA-8,3.18,2,523
RI-2,3.11,1,522
SC-1,2.87,3,517
SC-2,3.73,2,459
SC-4,5.33,1,443
SC-5,10.51,4,591
SC-7,1.69,4,561
TN-4,6.63,4,625
TN-5,8.61,2,348
TN-6,5.67,3,630
TN-7,4.12,2,735
TN-8,4.24,4,581
TN-9,4.89,1,373
TX-10,12.27,4,667
TX-11,3.40,6,509
TX-12,15.23,1,542
TX-14,12.46,2,599
TX-15,3.75,4,765
TX-16,9.34,1,114
TX-17,5.85,5,559
TX-2,17.05,1,436
TX-21,6.88,3,640
TX-22,11.61,1,640
TX-23,5.40,4,705
TX-24,15.50,1,533
TX-25,14.24,3,613
TX-26,14.05,3,602
TX-27,6.00,5,585
TX-28,5.08,4,730
TX-29,15.37,1,484
TX-3,14.03,2,596
TX-31,6.33,3,544
TX-32,26.40,1,313
TX-34,2.40,2,600
TX-35,10.41,2,495
TX-36,11.49,3,633
TX-38,24.63,1,302
TX-4,12.88,4,679
TX-5,20.13,2,442
TX-6,16.25,3,559
TX-8,17.44,2,428
TX-9,15.90,1,468
UT-1,5.13,2,662
UT-2,5.15,1,658
VA-1,5.65,3,494
VA-10,13.46,1,525
VA-2,4.15,2,475
VA-5,4.24,5,662
VA-6,8.96,3,569
VA-7,15.81,3,495
WA-10,13.92,1,394
WA-2,8.36,1,655
WA-4,2.69,4,640
WA-5,2.15,2,664
WA-6,8.01,1,684
WA-8,7.56,3,778
WI-1,4.91,2,536
WI-5,3.56,3,682
WI-6,5.64,4,647
WI-7,6.07,7,708
WI-8,1.93,3,604
WI-3,3.34,5,609
AK,1.00,4,708
AL,1.04,9,4903
AR,1.03,8,3018
CO,1.03,4,5759
DE,8.28,2,974
FL,1.00,10,21478
GA,1.02,11,10617
IA,1.11,9,3155
ID,1.08,5,1787
IL,1.07,10,12672
KS,1.41,7,2913
KY,1.50,10,4334
LA,1.03,7,4649
MA,1.19,4,6893
ME,1.05,3,1344
MI,1.00,11,9987
MN,1.06,7,5640
MS,1.02,10,2976
MT,1.02,9,1069
NC,1.04,10,10488
NE,1.12,8,1934
NH,5.84,3,1360
NJ,3.19,2,8882
NM,1.09,3,2097
OH,1.03,12,11823
OK,1.01,8,3957
OR,1.15,7,4218
RI,1.53,1,1059
SC,1.24,7,5149
SD,1.12,4,870
TN,1.15,8,6829
TX,1.00,20,28996
VA,1.35,10,8536
WV,2.40,9,1792
