race,party,margin
PA-10,D,2.580
AZ-6,D,2.078
NC-1,D,3.217
OH-9,D,2.930
NY-17,D,1.963
VA-2,D,2.810
NJ-7,D,2.903
TX-34,D,3.837
WI-3,D,0.840
IA-1,D,2.279
PA-7,D,1.045
FL-14,D,4.937
FL-22,D,0.719
PA-8,D,0.955
MI-7,D,0.528
FL-25,D,5.413
WA-3,D,5.300
CO-8,D,4.252
IA-3,D,5.504
OH-7,D,0.183
MI-10,D,0.730
MI-4,D,-0.262
AZ-1,D,1.085
PA-1,D,-0.982
FL-9,D,-0.395
TX-28,D,6.935
VA-1,D,-0.736
IA-2,D,-1.286
NC-11,D,-0.920
ME-2,D,-1.192
CA-48,D,7.892
CA-22,D,8.409
TX-15,D,-2.454
TX-23,D,-2.616
OH-1,D,9.423
TX-35,D,-3.078
FL-7,D,-3.411
MO-2,D,-3.802
WI-1,D,-3.269
NV-1,D,10.740
VA-5,D,-3.953
CA-45,D,11.354
NM-2,D,11.176
AL-2,D,-4.406
MN-1,D,-4.310
NH-1,D,12.757
CO-5,D,-4.795
MT-1,D,-5.297
NV-4,D,13.368
NV-3,D,13.569
NY-3,D,13.419
FL-13,D,-4.938
FL-27,D,-6.369
OH-15,D,-6.129
NY-1,D,-5.990
CO-3,D,-6.003
CA-1,D,14.305
NE-2,D,13.787
CA-13,D,14.669
IN-1,D,13.870
CO-4,D,-8.177
KY-6,D,-6.075
MO-5,D,14.695
CA-6,D,15.043
MN-2,D,13.798
FL-16,D,-7.333
NY-2,D,-8.244
SC-1,D,-7.046
AZ-2,D,-7.103
NV-2,D,-8.088
NY-21,D,-7.870
NY-19,D,15.818
MI-8,D,16.847
NJ-9,D,16.186
NC-9,D,-8.824
OH-13,D,15.817
NJ-2,D,-8.952
AR-2,D,-8.552
NE-1,D,-10.372
CT-5,D,16.663
OH-10,D,-8.534
CA-21,D,17.317
LA-6,D,3.609
FL-12,D,-10.793
FL-4,D,-10.817
AZ-4,D,18.018
NH-2,D,16.040
AK-1,D,-47.120
IL-17,D,18.131
OR-5,D,17.792
FL-8,D,-10.190
FL-2,D,-11.548
IL-8,D,18.844
CA-3,D,18.439
NY-4,D,18.069
FL-11,D,-10.290
TX-24,D,-11.352
TN-9,D,-11.441
IN-5,D,-9.802
TX-32,D,-12.032
CA-47,D,18.578
NC-13,D,-11.217
WA-5,D,-10.807
MN-8,D,-11.237
NC-3,D,-10.799
NM-3,D,18.741
KS-3,D,18.990
IL-14,D,19.329
VA-7,D,18.271
MD-6,D,19.209
PA-17,D,18.653
NC-7,D,-9.773
CA-27,D,20.049
FL-15,D,-12.607
IL-6,D,19.344
OH-8,D,-12.735
TX-9,D,-13.631
NC-14,D,-11.903
FL-21,D,-12.912
GA-12,D,-12.743
AZ-8,D,-12.662
NC-5,D,-12.421
NJ-5,D,21.185
MI-3,D,19.934
NJ-11,D,20.613
WA-8,D,20.321
WI-8,D,-13.141
NY-18,D,18.623
MI-1,D,-12.900
MO-3,D,-13.687
FL-5,D,-13.112
FL-18,D,-14.255
GA-2,D,20.347
CA-25,D,21.225
TX-5,D,-14.097
FL-26,D,-16.516
GA-1,D,-13.661
KS-2,D,-13.935
OR-4,D,20.249
TN-5,D,-12.135
VA-6,D,-14.894
OK-5,D,-13.959
CA-49,D,22.064
NC-6,D,-14.698
PA-11,D,-14.070
TX-31,D,-15.280
MD-1,D,-13.113
CT-2,D,21.035
MN-6,D,-15.305
TX-27,D,-16.188
CA-31,D,22.874
AZ-5,D,-14.073
NJ-3,D,21.962
OR-6,D,21.702
SC-2,D,-14.390
WA-4,D,-16.079
NC-10,D,-12.755
CA-23,D,-16.975
TN-7,D,-15.584
TX-10,D,-15.182
TX-22,D,-15.873
CA-35,D,22.549
IL-11,D,21.957
NY-22,D,22.212
VA-10,D,22.480
WI-6,D,-14.470
NJ-6,D,23.038
NC-8,D,-16.118
NY-11,D,-18.497
TX-21,D,-15.096
TX-3,D,-14.897
IL-13,D,22.404
PA-16,D,-16.733
PA-6,D,22.904
TX-2,D,-16.573
CA-5,D,-17.068
CA-9,D,24.746
FL-3,D,-16.544
OH-14,D,-16.786
KS-4,D,-16.806
WI-7,D,-16.275
CA-42,D,22.969
NY-23,D,-17.563
CA-39,D,24.839
CT-3,D,25.759
FL-17,D,-16.560
FL-28,D,-17.473
MA-9,D,24.105
NY-6,D,27.364
TX-38,D,-16.566
CA-33,D,25.891
SC-7,D,-18.350
CA-26,D,24.205
GA-7,D,-18.497
MO-6,D,-18.235
NM-1,D,25.108
TX-17,D,-17.542
WA-6,D,26.693
CO-7,D,24.895
NY-24,D,-18.568
TX-25,D,-18.918
TX-36,D,-19.587
OH-5,D,-21.497
