race,receipts,coh,covend,match
PA-10,6364069,4478639,2026-06-30,name
AZ-6,7354808,3260877,2026-07-01,name
NC-1,4287386,3570366,2026-06-30,name
OH-9,4303416,3491668,2026-06-30,name
NY-17,4317457,1319156,2026-06-30,name
VA-2,4659795,3582723,2026-07-15,name
NJ-7,4272034,1445694,2026-06-30,name
TX-34,3773915,2532412,2026-06-30,name
WI-3,8601146,1826605,2026-07-22,name
IA-1,7051745,5425318,2026-06-30,name
PA-7,2392215,1018423,2026-06-30,name
FL-14,2337999,1744723,2026-07-29,name
FL-22,2284052,1296684,2026-07-29,name
PA-8,4609589,3406710,2026-06-30,name
MI-7,1119198,383116,2026-07-15,name
FL-25,2998428,1882634,2026-07-29,name
WA-3,6292683,2064820,2026-07-15,name
CO-8,4336988,601232,2026-06-30,name
IA-3,5293773,3859683,2026-06-30,name
OH-7,603156,312290,2026-06-30,name
MI-10,1211489,158196,2026-07-15,name
MI-4,2620011,1686240,2026-07-15,name
AZ-1,1830193,401745,2026-07-01,name
PA-1,2007499,794921,2026-06-30,name
FL-9,2157834,1187355,2026-07-29,name
TX-28,2231952,1129604,2026-06-30,name
VA-1,2140980,1004227,2026-07-15,name
IA-2,1628201,755838,2026-06-30,name
NC-11,3052354,2184778,2026-06-30,name
ME-2,1205432,228649,2026-06-30,name
CA-48,2174872,825012,2026-06-30,name
CA-22,2645560,571792,2026-06-30,name
TX-15,2960462,1155936,2026-06-30,name
TX-23,484915,171373,2026-06-30,fuzzy
OH-1,4633250,3610214,2026-06-30,name
TX-35,931699,323108,2026-06-30,name
FL-7,1378109,475858,2026-07-29,name
MO-2,1155880,242217,2026-07-15,name
WI-1,712984,151644,2026-07-22,name
NV-1,1537358,1337525,2026-06-30,name
VA-5,2140402,1511291,2026-07-15,name
CA-45,4981277,3257398,2026-06-30,name
NM-2,3784102,2378703,2026-06-30,name
AL-2,1355789,662600,2026-07-22,name
NH-1,2432372,604203,2026-08-19,name
CO-5,3143744,1592642,2026-06-30,name
MT-1,1382873,550079,2026-06-30,name
NV-4,3350563,1496222,2026-06-30,name
NV-3,4401421,3689228,2026-06-30,name
NY-3,5456698,5679950,2026-06-30,name
FL-13,1223069,683295,2026-07-29,name
FL-27,661173,325097,2026-07-29,name
OH-15,606658,252402,2026-06-30,name
NY-1,647598,172217,2026-06-30,name
CO-3,716576,84208,2026-06-30,name
CA-1,1827711,152606,2026-06-30,name
NE-2,2668287,997390,2026-06-30,name
CA-13,4191397,2072111,2026-06-30,name
IN-1,2386268,1336696,2026-06-30,name
CO-4,10349940,3610909,2026-06-30,name
KY-6,1463855,491275,2026-06-30,name
MO-5,1336738,1142882,2026-07-15,name
CA-6,1098283,359132,2026-06-30,name
MN-2,1402824,0,2026-03-31,top$
FL-16,296507,80738,2026-07-29,name
NY-2,461848,89408,2026-06-30,name
SC-1,2279585,412020,2026-06-30,name
AZ-2,3519760,1910990,2026-07-01,name
NV-2,257087,140607,2026-06-30,name
NY-21,5461528,2622585,2026-06-30,name
NY-19,4825666,3190954,2026-06-30,name
MI-8,5644876,4254099,2026-07-15,name
NJ-9,2661928,1793359,2026-06-30,name
NC-9,2237508,163673,2026-06-30,name
OH-13,3137440,1897462,2026-06-30,name
NJ-2,462863,120210,2026-06-30,name
AR-2,1174414,191398,2026-06-30,name
NE-1,592233,290611,2026-06-30,name
CT-5,1290078,1084158,2026-06-30,name
OH-10,362666,125160,2026-06-30,name
CA-21,1338630,938779,2026-06-30,name
LA-6,833358,436429,2026-07-18,name
FL-12,186813,4906,2026-07-29,name
FL-4,742680,162602,2026-07-29,top$
AZ-4,2117114,2020289,2026-07-01,name
NH-2,4155360,2701065,2026-08-19,name
AK-1,865433,470681,2026-06-30,top$
IL-17,2233676,1325642,2026-06-30,name
OR-5,3760212,2715860,2026-06-30,name
FL-8,725731,108111,2026-07-29,name
FL-2,348120,28038,2026-07-29,name
IL-8,2071076,144530,2026-06-30,name
CA-3,1250126,1830338,2026-06-30,name
NY-4,5097222,3843824,2026-06-30,name
TX-24,209860,37265,2026-06-30,name
TN-9,2344947,844733,2026-07-17,name
IN-5,582087,314652,2026-06-30,name
CA-47,3381161,1889360,2026-06-30,name
NC-13,1022610,514555,2026-06-30,name
WA-5,396217,74463,2026-07-15,name
MN-8,198344,17036,2026-07-22,top$
NC-3,223119,73711,2026-06-30,name
NM-3,1249949,666975,2026-06-30,name
KS-3,3690440,1724212,2026-07-15,name
IL-14,2417082,1106564,2026-06-30,name
VA-7,12355664,6573093,2026-07-15,name
MD-6,12308220,307611,2026-06-30,fuzzy
PA-17,2776943,1073975,2026-06-30,name
NC-7,293818,65017,2026-06-30,name
CA-27,3963530,2554917,2026-06-30,name
IL-6,2108920,1285018,2026-06-30,name
TX-9,665423,2903,2026-06-30,top$
FL-21,579319,188045,2026-07-29,name
AZ-8,209358,190394,2026-03-31,name
NC-5,394695,99815,2026-06-30,name
NJ-5,4765145,12773075,2026-06-30,name
MI-3,2329122,1356573,2026-07-15,name
NJ-11,1823436,27475,2026-06-30,name
WA-8,3016894,3508751,2026-07-15,name
NY-18,4723627,3116479,2026-06-30,name
MI-1,824341,530725,2026-07-15,name
FL-5,272423,90533,2026-07-29,name
GA-2,1126530,447808,2026-06-30,name
CA-25,2093907,2556494,2026-06-30,name
FL-26,347681,198600,2026-07-29,name
GA-1,224654,147167,2026-03-31,top$
KS-2,758823,244286,2026-07-15,name
OR-4,1222922,520840,2026-06-30,name
TN-5,2599775,1482196,2026-07-17,name
VA-6,1686322,847470,2026-07-15,name
OK-5,449421,17334,2026-06-30,name
CA-49,3164023,1418237,2026-06-30,name
NC-6,199881,13898,2026-06-30,name
PA-11,214230,47150,2026-06-30,name
TX-31,203979,0,2026-06-30,top$
MD-1,695170,72575,2026-06-30,name
CT-2,760424,603234,2026-06-30,name
CA-31,705263,259803,2026-06-30,name
NJ-3,934660,439329,2026-06-30,name
OR-6,1613394,611103,2026-06-30,name
WA-4,179020,34309,2026-07-15,name
TN-7,868615,78689,2026-07-17,name
TX-10,363959,92140,2026-06-30,name
CA-35,769061,339247,2026-06-30,name
IL-11,2180937,2505288,2026-06-30,name
NY-22,2694739,1842997,2026-06-30,name
VA-10,1170446,582812,2026-07-15,name
NJ-6,2214837,3066967,2026-06-30,name
NC-8,314099,49313,2026-06-30,top$
TX-21,243839,104069,2026-06-30,name
TX-3,446506,43878,2026-06-30,name
