race,tipping,vpi,elasticity,dem_last,dem_win,rating
PA-10,0.0267625,9.777191,0.9393113,Stelson,0.67205,Lean D
AZ-6,0.0257125,8.899561,0.9660579,Mendoza,0.63637501,Lean D
NC-1,0.0254125,9.790133,0.9813774,Davis,0.69625002,Lean D
OH-9,0.0251125,9.207564,0.9341063,Kaptur,0.68217498,Lean D
NY-17,0.0249375,9.66541,0.9360371,Conley,0.62492502,Lean D
VA-2,0.024675,9.138835,0.915714,Luria,0.67137498,Lean D
NJ-7,0.0239375,7.786174,0.9299605,Bennett,0.67549998,Lean D
TX-34,0.0237875,15.80165,1.220229,Gonzalez,0.716075,Lean D
WI-3,0.02315,8.117862,0.9628047,Cooke,0.55510002,Toss-up
IA-1,0.0229875,7.444214,1.04166,Bohannan,0.63529998,Lean D
PA-7,0.022525,8.378222,1.031779,Brooks,0.56660002,Toss-up
FL-14,0.0225125,8.650305,1.081383,Castor,0.76899999,Likely D
FL-22,0.0224875,8.794683,1.099018,Dandiya,0.54517502,Toss-up
PA-8,0.0223375,8.70303,1.005761,Cognetti,0.56212503,Toss-up
MI-7,0.0221125,6.61081,0.9276853,Lawrence,0.535375,Toss-up
FL-25,0.021,8.224694,1.103631,Moskowitz,0.78114998,Likely D
WA-3,0.0204,7.561635,1.001908,Gluesenkamp Pérez,0.778175,Likely D
CO-8,0.019975,8.537082,1.146033,Rutinel,0.71987498,Lean D
IA-3,0.0199375,6.526757,1.056396,Trone Garriott,0.78397501,Likely D
OH-7,0.019925,6.446509,1.094273,Poindexter,0.51052499,Toss-up
MI-10,0.019175,6.123504,1.010571,Hines,0.54149997,Toss-up
MI-4,0.0188625,6.103478,1.058561,McCann,0.48445001,
AZ-1,0.0187375,6.140168,1.039085,Shah,0.55997503,Toss-up
PA-1,0.0174875,5.346941,0.9015951,Harvie,0.438375,
FL-9,0.017225,7.075562,1.10587,Soto,0.477525,
TX-28,0.0172,13.71741,1.23683,Cuellar,0.82877499,Likely D
VA-1,0.0169125,5.187209,0.9420435,Taylor,0.45002499,
IA-2,0.0164125,5.314958,1.074352,James,0.42232499,
NC-11,0.0163125,5.583302,0.9541581,Ager,0.44692501,
ME-2,0.0159125,5.432259,1.065971,Dunlap,0.42557499,
CA-48,0.0156,7.635542,1.162858,Von Wilpert,0.88160002,Likely D
CA-22,0.0138625,14.12985,1.059883,Villegas,0.87892503,Likely D
TX-15,0.0127375,8.96771,0.960183,Pulido,0.35405001,
TX-23,0.01245,6.151077,0.9526212,Padilla Stout,0.34865001,
OH-1,0.01185,4.182175,1.056704,Landsman,0.92475003,Likely D
TX-35,0.0112125,5.887539,1.196695,Garcia,0.31885001,
FL-7,0.010375,3.569227,0.9908131,Dalton,0.3141,
MO-2,0.009925,3.538458,0.9528376,Wellman,0.29367501,
