race,tipping,vpi,elasticity,dem_last,dem_win,rating
TX,0.1328875,1.136273,1.039936,Talarico,0.561975,Toss-up
OH,0.1213,1.901469,1.015167,Brown,0.61545002,Lean D
MI,0.1132875,1.919397,0.9976366,El-Sayed,0.68057501,Lean D
ME,0.11325,11.72794,1.066956,Jackson,0.64617503,Lean D
AK,0.1042125,24.02973,1.265491,Peltola,0.46145001,Toss-up
IA,0.101425,5.454781,1.047751,Turek,0.35032499,
NC,0.0563625,1.081049,0.945042,Cooper,0.86860001,Likely D
KS,0.055275,3.63618,1.060369,Hamilton,0.2075,
NH,0.048775,5.144751,1.132258,Pappas,0.85697502,Likely D
NE,0.0315875,2.959022,1.019529,,,
MN,0.024975,0.7158105,0.941798,Flanagan,0.93239999,Likely D
FL,0.0241375,0.2298767,1.007621,Nixon,0.093625,
SC,0.019775,0.7793042,0.9708939,Andrews,0.07605,
GA,0.01725,0.3242362,0.9287626,Ossoff,0.9447,Likely D
LA,0.0086625,0.4816703,0.9832498,Davis,0.0372,
MS,0.007725,0.6740007,0.8712823,Colom,0.0215,
AR,0.0035,0.2640514,1.03142,Shoffner,0.015825,
MT,0.0028875,0.4860577,0.9225928,Bankhead,0.012125,
NJ,0.001875,0.0458145,0.9918664,Booker,0.99489999,Solid D
VA,0.001725,0.0410287,0.9556101,Warner,0.99445003,Solid D
CO,0.0016375,0.0492824,1.054028,Hickenlooper,0.99519998,Solid D
IL,0.0015875,0.0273175,0.9753605,Stratton,0.99575001,Solid D
SD,0.001575,0.3272777,1.013038,,,
NM,0.00155,0.1598272,1.131685,Luján,0.99532503,Solid D
KY,0.0005875,0.0283116,0.9510981,Booker,0.00285,
DE,0.000525,0.1117315,0.9471186,Coons,0.99865001,Solid D
OR,0.0004875,0.0198332,0.9530265,Merkley,0.99839997,Solid D
ID,0.000425,0.0441112,1.009911,,,
AL,0.0003125,0.014201,0.9003183,Wess,0.001475,
RI,0.0002375,0.0415834,1.257894,Reed,0.99932498,Solid D
TN,0.0000875,0.002796,0.9408535,Bradshaw,0.000375,
MA,0.000075,0.0019718,1.118819,Markey,0.99977499,Solid D
OK,0.000025,0.0014948,1.001524,Thomas,0.000275,
WV,0.0000125,0.0015618,1.048347,Fetty Anderson,0.000075,
